216A; C; 217A
216B; C; 217B
216C; C; 217C
216D; C; 217D
216E; C; 217E
216F; C; 217F
2183; C; 2184
24B6; C; 24D0
24B7; C; 24D1
24B8; C; 24D2
24B9; C; 24D3
24BA; C; 24D4
24BB; C; 24D5
24BC; C; 24D6
24BD; C; 24D7
24BE; C; 24D8
24BF; C; 24D9
24C0; C; 24DA
24C1; C; 24DB
24C2; C; 24DC
24C3; C; 24DD
24C4; C; 24DE
24C5; C; 24DF
24C6; C; 24E0
24C7; C; 24E1
24C8; C; 24E2
24C9; C; 24E3
24CA; C; 24E4
24CB; C; 24E5
24CC; C; 24E6
24CD; C; 24E7
24CE; C; 24E8
24CF; C; 24E9
2C00; C; 2C30
2C01; C; 2C31
2C02; C; 2C32
2C03; C; 2C33
2C04; C; 2C34
2C05; C; 2C35
2C06; C; 2C36
2C07; C; 2C37
2C08; C; 2C38
2C09; C; 2C39
2C0A; C; 2C3A
2C0B; C; 2C3B
2C0C; C; 2C3C
2C0D; C; 2C3D
2C0E; C; 2C3E
2C0F; C; 2C3F
2C10; C; 2C40
2C11; C; 2C41
2C12; C; 2C42
2C13; C; 2C43
2C14; C; 2C44
2C15; C; 2C45
2C16; C; 2C46
2C17; C; 2C47
2C18; C; 2C48
2C19; C; 2C49
2C1A; C; 2C4A
2C1B; C; 2C4B
2C1C; C; 2C4C
2C1D; C; 2C4D
2C1E; C; 2C4E
2C1F; C; 2C4F
2C20; C; 2C50
2C21; C; 2C51
2C22; C; 2C52
2C23; C; 2C53
2C24; C; 2C54
2C25; C; 2C55
2C26; C; 2C56
2C27; C; 2C57
2C28; C; 2C58
2C29; C; 2C59
2C2A; C; 2C5A
2C2B; C; 2C5B
2C2C; C; 2C5C
2C2D; C; 2C5D
2C2E; C; 2C5E
2C2F; C; 2C5F
2C60; C; 2C61
2C62; C; 026B
2C63; C; 1D7D
2C64; C; 027D
2C67; C; 2C68
2C69; C; 2C6A
2C6B; C; 2C6C
2C6D; C; 0251
2C6E; C; 0271
2C6F; C; 0250
2C70; C; 0252
2C72; C; 2C73
2C75; C; 2C76
2C7E; C; 023F
2C7F; C; 0240
2C80; C; 2C81
2C82; C; 2C83
2C84; C; 2C85
2C86; C; 2C87
2C88; C; 2C89
2C8A; C; 2C8B
2C8C; C; 2C8D
2C8E; C; 2C8F
2C90; C; 2C91
2C92; C; 2C93
2C94; C; 2C95
2C96; C; 2C97
2C98; C; 2C99
2C9A; C; 2C9B
2C9C; C; 2C9D
2C9E; C; 2C9F
2CA0; C; 2CA1
2CA2; C; 2CA3
2CA4; C; 2CA5
2CA6; C; 2CA7
2CA8; C; 2CA9
2CAA; C; 2CAB
2CAC; C; 2CAD
2CAE; C; 2CAF
2CB0; C; 2CB1
2CB2; C; 2CB3
2CB4; C; 2CB5
2CB6; C; 2CB7
2CB8; C; 2CB9
2CBA; C; 2CBB
2CBC; C; 2CBD
2CBE; C; 2CBF
2CC0; C; 2CC1
2CC2; C; 2CC3
2CC4; C; 2CC5
2CC6; C; 2CC7
2CC8; C; 2CC9
2CCA; C; 2CCB
2CCC; C; 2CCD
2CCE; C; 2CCF
2CD0; C; 2CD1
2CD2; C; 2CD3
2CD4; C; 2CD5
2CD6; C; 2CD7
2CD8; C; 2CD9
2CDA; C; 2CDB
2CDC; C; 2CDD
2CDE; C; 2CDF
2CE0; C; 2CE1
2CE2; C; 2CE3
2CEB; C; 2CEC
2CED; C; 2CEE
2CF2; C; 2CF3
A640; C; A641
A642; C; A643
A644; C; A645
A646; C; A647
A648; C; A649
A64A; C; A64B
A64C; C; A64D
A64E; C; A64F
A650; C; A651
A652; C; A653
A654; C; A655
A656; C; A657
A658; C; A659
A65A; C; A65B
A65C; C; A65D
A65E; C; A65F
A660; C; A661
A662; C; A663
A664; C; A665
A666; C; A667
A668; C; A669
A66A; C; A66B
A66C; C; A66D
A680; C; A681
A682; C; A683
A684; C; A685
A686; C; A687
A688; C; A689
A68A; C; A68B
A68C; C; A68D
A68E; C; A68F
A690; C; A691
A692; C; A693
A694; C; A695
A696; C; A697
A698; C; A699
A69A; C; A69B
A722; C; A723
A724; C; A725
A726; C; A727
A728; C; A729
A72A; C; A72B
A72C; C; A72D
A72E; C; A72F
A732; C; A733
A734; C; A735
A736; C; A737
A738; C; A739
A73A; C; A73B
A73C; C; A73D
A73E; C; A73F
A740; C; A741
A742; C; A743
A744; C; A745
A746; C; A747
A748; C; A749
A74A; C; A74B
A74C; C; A74D
A74E; C; A74F
A750; C; A751
A752; C; A753
A754; C; A755
A756; C; A757
A758; C; A759
A75A; C; A75B
A75C; C; A75D
A75E; C; A75F
A760; C; A761
A762; C; A763
A764; C; A765
A766; C; A767
A768; C; A769
A76A; C; A76B
A76C; C; A76D
A76E; C; A76F
A779; C; A77A
A77B; C; A77C
A77D; C; 1D79
A77E; C; A77F
A780; C; A781
A782; C; A783
A784; C; A785
A786; C; A787
A78B; C; A78C
A78D; C; 0265
A790; C; A791
A792; C; A793
A796; C; A797
A798; C; A799
A79A; C; A79B
A79C; C; A79D
A79E; C; A79F
A7A0; C; A7A1
A7A2; C; A7A3
A7A4; C; A7A5
A7A6; C; A7A7
A7A8; C; A7A9
A7AA; C; 0266
A7AB; C; 025C
A7AC; C; 0261
A7AD; C; 026C
A7AE; C; 026A
A7B0; C; 029E
A7B1; C; 0287
A7B2; C; 029D
A7B3; C; AB53
A7B4; C; A7B5
A7B6; C; A7B7
A7B8; C; A7B9
A7BA; C; A7BB
A7BC; C; A7BD
A7BE; C; A7BF
A7C0; C; A7C1
A7C2; C; A7C3
A7C4; C; A794
A7C5; C; 0282
A7C6; C; 1D8E
A7C7; C; A7C8
A7C9; C; A7CA
A7D0; C; A7D1
A7D6; C; A7D7
A7D8; C; A7D9
A7F5; C; A7F6
AB70; C; 13A0
AB71; C; 13A1
AB72; C; 13A2
AB73; C; 13A3
AB74; C; 13A4
AB75; C; 13A5
AB76; C; 13A6
AB77; C; 13A7
AB78; C; 13A8
AB79; C; 13A9
AB7A; C; 13AA
AB7B; C; 13AB
AB7C; C; 13AC
AB7D; C; 13AD
AB7E; C; 13AE
AB7F; C; 13AF
AB80; C; 13B0
AB81; C; 13B1
AB82; C; 13B2
AB83; C; 13B3
AB84; C; 13B4
AB85; C; 13B5
AB86; C; 13B6
AB87; C; 13B7
AB88; C; 13B8
AB89; C; 13B9
AB8A; C; 13BA
AB8B; C; 13BB
AB8C; C; 13BC
AB8D; C; 13BD
AB8E; C; 13BE
AB8F; C; 13BF
AB90; C; 13C0
AB91; C; 13C1
AB92; C; 13C2
AB93; C; 13C3
AB94; C; 13C4
AB95; C; 13C5
AB96; C; 13C6
AB97; C; 13C7
AB98; C; 13C8
AB99; C; 13C9
AB9A; C; 13CA
AB9B; C; 13CB
AB9C; C; 13CC
AB9D; C; 13CD
AB9E; C; 13CE
AB9F; C; 13CF
ABA0; C; 13D0
ABA1; C; 13D1
ABA2; C; 13D2
ABA3; C; 13D3
ABA4; C; 13D4
ABA5; C; 13D5
ABA6; C; 13D6
ABA7; C; 13D7
ABA8; C; 13D8
ABA9; C; 13D9
ABAA; C; 13DA
ABAB; C; 13DB
ABAC; C; 13DC
ABAD; C; 13DD
ABAE; C; 13DE
ABAF; C; 13DF
ABB0; C; 13E0
ABB1; C; 13E1
ABB2; C; 13E2
ABB3; C; 13E3
ABB4; C; 13E4
ABB5; C; 13E5
ABB6; C; 13E6
ABB7; C; 13E7
ABB8; C; 13E8
ABB9; C; 13E9
ABBA; C; 13EA
ABBB; C; 13EB
ABBC; C; 13EC
ABBD; C; 13ED
ABBE; C; 13EE
ABBF; C; 13EF
FB00; F; 0066 0066
FB01; F; 0066 0069
FB02; F; 0066 006C
FB03; F; 0066 0066 0069
