03A9 0314 0301;	03A9 	
03A9 0314 0342;	03A9 	
03B1 0313 0300;	03B1 	
03B1 0313 0301;	03B1 	
03B1 0313 0342;	03B1 	
03B1 0314 0300;	03B1 	
03B1 0314 0301;	03B1 	
03B1 0314 0342;	03B1 	
03B5 0313 0300;	03B5 	
03B5 0313 0301;	03B5 	
03B5 0314 0300;	03B5 	
03B5 0314 0301;	03B5 	
03B7 0313 0300;	03B7 	
03B7 0313 0301;	03B7 	
03B7 0313 0342;	03B7 	
03B7 0314 0300;	03B7 	
03B7 0314 0301;	03B7 	
03B7 0314 0342;	03B7 	
03B9 0308 0300;	03B9 	
03B9 0308 0301;	03B9 	
03B9 0308 0342;	03B9 	
03B9 0313 0300;	03B9 	
03B9 0313 0301;	03B9 	
03B9 0313 0342;	03B9 	
03B9 0314 0300;	03B9 	
03B9 0314 0301;	03B9 	
03B9 0314 0342;	03B9 	
03BF 0313 0300;	03BF 	
03BF 0313 0301;	03BF 	
03BF 0314 0300;	03BF 	
03BF 0314 0301;	03BF 	
03C5 0308 0300;	03C5 	
03C5 0308 0301;	03C5 	
03C5 0308 0342;	03C5 	
03C5 0313 0300;	03C5 	
03C5 0313 0301;	03C5 	
03C5 0313 0342;	03C5 	
03C5 0314 0300;	03C5 	
03C5 0314 0301;	03C5 	
03C5 0314 0342;	03C5 	
03C9 0313 0300;	03C9 	
03C9 0313 0301;	03C9 	
03C9 0313 0342;	03C9 	
03C9 0314 0300;	03C9 	
03C9 0314 0301;	03C9 	
03C9 0314 0342;	03C9 	
05E9 05BC 05C1;	05E9 	
05E9 05BC 05C2;	05E9 	



00C0;	0041  	
00C1;	0041  	
00C2;	0041  	
00C3;	0041  	
00C4;	0041  	
00C5;	0041  	
0100;	0041  	
0102;	0041  	
0104;	0041  	
01CD;	0041  	
01DE;	0041  	
01E0;	0041  	
01FA;	0041  	
0200;	0041  	
0202;	0041  	
0226;	0041  	
1E00;	0041  	
1EA0;	0041  	
1EA2;	0041  	
1EA4;	0041  	
1EA6;	0041  	
1EA8;	0041  	
1EAA;	0041  	
1EAC;	0041  	
1EAE;	0041  	
1EB0;	0041  	
1EB2;	0041  	
1EB4;	0041  	
1EB6;	0041  	
0181;	0042  	
0182;	0042  	
1E02;	0042  	
1E04;	0042  	
1E06;	0042  	
00C7;	0043  	
0106;	0043  	
0108;	0043  	
010A;	0043  	
010C;	0043  	
0187;	0043  	
1E08;	0043  	
010E;	0044  	
0110;	0044  	
